Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Al Burj Rahma Watani,Acceptable,24.864662,55.379391,Dubai,618,92982,93063,97591,96531,95132,86810,"Orthopedics; Nephrology (Kidney care); Radiology; General Surgery; Intensive Care Unit (ICU); Dermatology; Internal Medicine; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology",70.41,74.24,75.06,78.09,74.36,80.97,85.91,62.65,90.19,101.92,107.26,74.55,2952,2585,2981,3436,3147,2950,336,8064,3829,4235,Knowledgeable; Human touch; Reassuring,Not responsive; Not recommended; Disrespectful
Noor Amal Hilal,Very Bad,25.765541,55.93984,Ras Al Khaimah,685,44938,47324,54118,60949,63953,67923,"Pediatrics; Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders); Infectious Diseases; Gastroenterology (Digestive system); Ear, Nose, and Throat (ENT) / Otolaryngology; Anesthesiology; Ophthalmology (Eye care); Oncology (Cancer treatment)",197.09,216.42,235.1,257.8,265.3,284.85,245.73,230.87,349.91,315.53,397.65,282.57,4635,4037,4968,5177,4884,4818,396,6336,1847,4489,High standards,Poor hygiene; Misdiagnosis
Burj Noor Diagnostic Center,Acceptable,25.057224,55.725871,Sharjah,477,68387,70714,67115,67117,67891,69092,Internal Medicine; Pediatrics; Physiotherapy and Rehabilitation; Endocrinology (Hormonal disorders); Nephrology (Kidney care),199.55,211.26,205.48,206.15,216.92,209.96,212.93,186.85,288.59,242.18,219.27,285.77,4256,3762,4164,3734,4558,5135,276,26220,16667,9553,Courteous; Safe; Calm; Advanced equipment,Overpriced; Arrogant; Understaffed; Bad experience; Noisy
Afia Diagnostic Center,Good,25.579292,56.053087,Ras Al Khaimah,863,77670,87691,83242,89199,82300,86738,Oncology (Cancer treatment); Dental and Oral Surgery; Radiology; Nephrology (Kidney care); Gastroenterology (Digestive system),171.8,168.83,170.89,177.4,178.73,191.54,205.17,249.27,137.42,232.89,208.63,179.19,4539,4635,5741,4953,4395,4599,837,20088,7920,12168,Good bedside manner; Accurate diagnosis; Clean rooms; Professionalism; Efficient,No empathy
General Care National,Good,25.657091,56.042855,Ras Al Khaimah,380,58764,53222,50509,49351,49795,55557,"Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Physiotherapy and Rehabilitation; General Surgery; Oncology (Cancer treatment); Emergency Medicine; Obstetrics and Gynecology (OB/GYN); Cardiology; Pulmonology (Respiratory care); Dental and Oral Surgery; Urology; Orthopedics; Internal Medicine; Neurology; Intensive Care Unit (ICU)",12.93,13.77,14.96,15.46,16.18,16.16,10.49,12.21,16.9,16.44,22.74,22.51,692,663,696,642,682,842,733,65970,16242,49728,Modern; Prompt attention; Professional; Professionalism,Chaotic; Stressed
Hikma Polyclinic,Good,25.165344,55.222518,Dubai,982,22101,22994,21404,22821,24165,24549,Emergency Medicine; Ophthalmology (Eye care); Infectious Diseases; Intensive Care Unit (ICU); Radiology; Anesthesiology; Pediatrics,68.53,65.4,66.08,63.65,67.66,67.42,60.61,88.97,60.53,77.38,63.83,77.52,2206,2450,2456,2171,2423,2991,316,10744,7905,2839,Fast service; Kind; Professional; Excellent,Lack of privacy
Burj Noor Dowaly,Acceptable,25.491934,55.671095,Umm Al Quwain,282,30585,31971,35355,36711,38225,40593,"Physiotherapy and Rehabilitation; Ear, Nose, and Throat (ENT) / Otolaryngology; Radiology; Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Gastroenterology (Digestive system); General Surgery; Pathology and Laboratory Services; Urology; Psychiatry and Mental Health; Ophthalmology (Eye care); Neurology; Orthopedics; Internal Medicine; Emergency Medicine",2.14,2.32,2.55,2.58,2.64,2.65,1.79,2.96,2.25,2.42,3.71,2.31,551,575,567,605,583,516,857,35137,22382,12755,Efficient; Recommended; Patient; Human touch; Thorough,No explanation; Painful; Overpriced
Rahma Arabi Modern,Very Bad,25.509835,55.920705,Ras Al Khaimah,181,49123,51541,53419,49533,48429,55213,Internal Medicine; Oncology (Cancer treatment); Radiology; Cardiology; Pathology and Laboratory Services; Ophthalmology (Eye care); Infectious Diseases; Nephrology (Kidney care); Urology; Dental and Oral Surgery,84.29,89.25,90.76,96.92,92.27,93.09,82.88,100,103.21,85.06,110.78,82.36,3489,4170,4593,4922,5916,5529,516,18060,12717,5343,Good communication; Trustworthy,Lack of care; Mismanaged
Al Hayat Saada Specialist Hospital,Very Bad,23.680569,54.377358,Abu Dhabi,973,91793,105455,103592,101805,116318,129725,Infectious Diseases; Psychiatry and Mental Health; Dermatology; Anesthesiology; Pediatrics; Emergency Medicine; Neurology; Pulmonology (Respiratory care); Ophthalmology (Eye care); Intensive Care Unit (ICU); Internal Medicine; Dental and Oral Surgery; Cardiology,2.94,3.08,3.19,3.3,3.52,3.86,2.57,4.43,4.18,2.9,5.13,3.81,2627,2798,2513,2507,2674,2693,744,39432,26203,13229,Recommended,Painful; Rude; Untrustworthy; Outdated equipment
Afia Jadeed Lil Tibb,Acceptable,25.407654,55.544438,Sharjah,878,35234,40462,45009,46096,46589,46226,"Emergency Medicine; Dental and Oral Surgery; Psychiatry and Mental Health; Physiotherapy and Rehabilitation; Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); Anesthesiology; Obstetrics and Gynecology (OB/GYN); Nephrology (Kidney care); Intensive Care Unit (ICU); Ear, Nose, and Throat (ENT) / Otolaryngology; Urology; Gastroenterology (Digestive system); Orthopedics; Oncology (Cancer treatment)",12.37,12.76,13.51,13.71,13.93,14.57,11.44,17.13,17.57,15.2,20.81,20.85,719,830,820,1021,1269,1083,878,86922,40016,46906,Supportive; Patient,Not recommended; Lack of care
Markaz Afia Watani,Acceptable,25.177417,56.338237,Fujairah,872,69119,64934,68071,70834,78981,71697,Anesthesiology; Cardiology; Infectious Diseases; Pathology and Laboratory Services; Pediatrics,56.99,62.22,59.15,60.26,65.88,72.29,69.63,58.9,69.63,73.78,62.43,72.34,3139,3165,2835,2714,2686,2937,164,9512,2473,7039,Accurate diagnosis; Positive experience; Prompt attention; Reassuring,Frustrating; Chaotic; Mismanaged; Unsafe
Noor Rahma,Very Good,25.358811,55.544144,Ajman,839,68523,67239,71792,70723,64651,72456,"Oncology (Cancer treatment); Endocrinology (Hormonal disorders); Cardiology; General Surgery; Emergency Medicine; Neurology; Dermatology; Urology; Radiology; Pathology and Laboratory Services; Ear, Nose, and Throat (ENT) / Otolaryngology; Physiotherapy and Rehabilitation; Anesthesiology",61.66,63.04,67.86,72.25,78.18,76.27,86.72,88.36,56.07,107.65,73.4,67.24,907,1026,1158,1444,1385,1196,101,1111,675,436,Clean environment; Modern; Courteous; Safe; Personalized care,Untrustworthy
Dental Clinic City,Very Bad,25.241292,56.147407,Fujairah,597,3357,3217,3462,3777,3855,3688,"Internal Medicine; Obstetrics and Gynecology (OB/GYN); Ear, Nose, and Throat (ENT) / Otolaryngology; Urology; Radiology; Neurology",178.32,170.05,186.89,201.71,200.52,198.46,143.57,212.17,231.81,168.51,250.84,194.15,314,342,418,451,555,527,873,33174,25078,8096,Thorough; Comforting; Skilled; Advanced equipment; Well-equipped,Poor hygiene; Unavailable doctors
Al Afia Dowaly Al Sihi,Very Good,25.517974,55.656003,Umm Al Quwain,71,15238,16312,18398,18934,20704,19028,Pulmonology (Respiratory care); Anesthesiology; Orthopedics; Urology; Dental and Oral Surgery,37.74,39.13,39.55,43.03,41.05,39.16,56.51,56.85,53.68,46.44,57.49,49.19,838,922,902,951,954,1183,371,7791,5395,2396,High standards; Professionalism,Slow; Painful; Unprofessional
Afia Diagnostic Center,Very Good,25.489261,55.625,Sharjah,578,77627,80692,92565,99468,105204,116458,"Nephrology (Kidney care); Oncology (Cancer treatment); Infectious Diseases; Orthopedics; Ear, Nose, and Throat (ENT) / Otolaryngology; Gastroenterology (Digestive system); Obstetrics and Gynecology (OB/GYN)",6.96,7.42,7.24,7.73,7.82,7.67,8,8.12,7.61,8.75,6.84,10.37,423,369,422,376,410,387,864,79488,28974,50514,Human touch; Modern,Hidden charges; Unprofessional; Insensitive
Ilaj Diagnostic Center,Very Good,25.411871,55.523463,Ajman,898,55890,58576,57693,59379,56465,58248,General Surgery; Internal Medicine; Cardiology; Physiotherapy and Rehabilitation; Pulmonology (Respiratory care); Intensive Care Unit (ICU); Oncology (Cancer treatment); Radiology; Neurology,43.62,43.15,41.41,41.62,43.56,45.2,59.91,55.06,44.77,56.61,62.03,60.28,4318,4453,4415,4370,4716,4711,544,17408,7072,10336,Gentle; Fast service; Painless; Supportive,Not responsive
Al Amal Khaleej,Bad,24.956546,55.140758,Dubai,76,95875,92145,96068,97591,103733,100233,"Pulmonology (Respiratory care); Pediatrics; Ear, Nose, and Throat (ENT) / Otolaryngology; Pathology and Laboratory Services; Nephrology (Kidney care); Internal Medicine; Infectious Diseases; Cardiology; Emergency Medicine; Obstetrics and Gynecology (OB/GYN); Psychiatry and Mental Health; Orthopedics",107.56,116.97,121.42,125.62,129.94,135.97,156.67,130.63,128.5,103.56,160.85,162,2380,2341,2054,2000,1721,2033,324,12960,4387,8573,Positive experience; No delays; Good bedside manner,Not recommended; Dirty
Al Noor,Very Bad,25.563879,55.655798,Umm Al Quwain,102,98386,112576,110690,110118,110282,112353,"Urology; Oncology (Cancer treatment); Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Orthopedics; Anesthesiology; Ophthalmology (Eye care); Pathology and Laboratory Services",175.96,175.37,191.15,190.98,184.29,193.88,186.82,188.48,286.29,153.17,252.25,163.44,3928,3857,4426,3848,4336,4198,228,16644,9113,7531,Fast service,Stressed; Disrespectful; Outdated equipment; Overpriced; Not responsive
Al Burj Hikma,Good,25.011397,55.370957,Dubai,855,45898,43148,40129,46002,41784,37738,Cardiology; Pathology and Laboratory Services; Neurology; Endocrinology (Hormonal disorders); Dental and Oral Surgery; Emergency Medicine; General Surgery; Dermatology,88.18,93.88,100.81,99.85,98.63,108.06,100.89,116.59,110.01,111.2,85.78,88.72,722,899,1107,1368,1548,1512,264,6336,1737,4599,Timely care; Kind; Respectful,Disorganized
Dar Rahma Medical Center,Good,25.358917,55.464805,Ajman,228,2202,2358,2348,2257,2516,2430,Pathology and Laboratory Services; Infectious Diseases; Endocrinology (Hormonal disorders); Dermatology; Psychiatry and Mental Health,33.44,33.9,33.04,34.65,37.08,35.67,40.39,35.19,43.24,39.62,49.93,46.32,171,171,149,157,179,156,222,8436,3735,4701,Seamless process; Compassionate; Satisfied; Follow-up care,Inconsiderate
Wahat Shifa Dowaly,Good,25.364309,55.420891,Ajman,586,34499,34523,37060,34676,39506,37043,"Dental and Oral Surgery; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Obstetrics and Gynecology (OB/GYN); Cardiology; Dermatology; Oncology (Cancer treatment); Intensive Care Unit (ICU); Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Pulmonology (Respiratory care); Pediatrics",93.68,95.07,100.7,99.98,107.53,106.42,100.69,94.83,84.89,141.09,153.44,151.3,3475,3760,4650,5788,5858,6180,700,46200,22991,23209,Respectful; Kind; Caring; Professionalism; Supportive,Overpriced
Afia Polyclinic,Very Bad,25.351673,55.466325,Ajman,982,66763,63358,57477,62384,69290,68213,Dental and Oral Surgery; Intensive Care Unit (ICU); Pediatrics; Oncology (Cancer treatment); Gastroenterology (Digestive system),119.77,122.8,130.65,139.52,144.45,157.27,126.85,102.8,167.94,151.05,137.51,160.96,4248,4261,5298,5703,6981,6111,378,30240,17617,12623,No delays,Unsafe; Billing issues; Poor hygiene
Wahat Afia Diagnostic Center,Good,25.077953,55.432966,Dubai,556,45808,44056,50418,51524,49476,54852,"Obstetrics and Gynecology (OB/GYN); Pediatrics; Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Orthopedics; Anesthesiology; Internal Medicine; Physiotherapy and Rehabilitation; Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Gastroenterology (Digestive system); Pathology and Laboratory Services; Oncology (Cancer treatment); Radiology; General Surgery",68,72.51,70.23,70.13,71.06,68.46,72.33,90.18,98.92,66.6,70.98,91.58,906,1132,1325,1343,1528,1319,290,20590,13679,6911,Clean rooms; Safe; Accurate diagnosis,Poor hygiene
Noor Clinic,Bad,25.368515,55.531475,Ajman,900,31109,32521,32324,34130,38214,36229,"Anesthesiology; Internal Medicine; Psychiatry and Mental Health; Dental and Oral Surgery; Endocrinology (Hormonal disorders); Obstetrics and Gynecology (OB/GYN); Ear, Nose, and Throat (ENT) / Otolaryngology; Gastroenterology (Digestive system)",35.16,38.65,37.5,35.93,39.45,42.38,38.13,42.59,39.67,53.31,32.57,44.74,1814,2176,2332,2660,3242,3687,443,18606,11058,7548,Friendly; Caring,Stressed; Long wait; Hidden charges; Poor hygiene; Poor follow-up
Rahma Diagnostic Center,Very Good,25.422907,56.173768,Fujairah,189,77501,71641,79958,80485,84502,85950,"Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Gastroenterology (Digestive system); Neurology; Anesthesiology; Urology; Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Pulmonology (Respiratory care); Pathology and Laboratory Services; Psychiatry and Mental Health; Physiotherapy and Rehabilitation",151.02,145.21,149.3,153.93,165.86,161.44,174.79,133.65,203.33,212.49,203.7,157.4,1855,1786,2008,1838,2034,2284,678,42714,9141,33573,Advanced equipment; Prompt attention,Chaotic
Dental Clinic National,Good,25.457404,56.230072,Fujairah,113,43303,47030,49695,56544,61081,63154,"Pediatrics; General Surgery; Oncology (Cancer treatment); Neurology; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Infectious Diseases; Pulmonology (Respiratory care); Obstetrics and Gynecology (OB/GYN); Pathology and Laboratory Services; Endocrinology (Hormonal disorders); Urology; Dermatology; Ear, Nose, and Throat (ENT) / Otolaryngology",152.78,166.15,161.91,169.03,175.94,177.34,199.09,207.9,163.69,203.44,242.64,264.26,3407,3607,4286,5219,6007,5427,989,18791,9338,9453,Thorough; Efficient,Outdated equipment
Saada Medical Center,Very Good,25.187158,55.780144,Sharjah,41,28806,31341,30565,29876,27617,27731,"Obstetrics and Gynecology (OB/GYN); Radiology; Physiotherapy and Rehabilitation; Anesthesiology; Psychiatry and Mental Health; Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery",14.76,15.28,15.77,16.29,16.97,16.72,13.38,17.64,16.03,17,16.9,14.26,405,357,315,325,397,419,439,28096,21684,6412,Modern; Clean environment; Skilled; Accurate diagnosis; Attentive,Lack of care
Wahat Shifa Watani,Very Bad,25.773117,56.061993,Ras Al Khaimah,929,22886,21381,19839,20536,22275,20603,Pediatrics; Orthopedics; Neurology; Endocrinology (Hormonal disorders); Dental and Oral Surgery; Nephrology (Kidney care); Psychiatry and Mental Health; Obstetrics and Gynecology (OB/GYN); Emergency Medicine; Physiotherapy and Rehabilitation; Cardiology; Pathology and Laboratory Services,179.15,196.99,208.73,218.35,216.32,235.43,179.48,280.35,253.99,317.21,244.42,286.38,1663,1730,1788,2072,2014,2275,719,26603,5336,21267,Comforting,Dirty; Slow
Markaz Noor Jadeed,Bad,24.890037,55.369666,Dubai,353,75442,68930,73075,72996,69471,64295,Urology; Dermatology; Orthopedics; Nephrology (Kidney care); Intensive Care Unit (ICU); Cardiology; Psychiatry and Mental Health; Infectious Diseases; Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN); Anesthesiology,196.03,189.62,198.19,210.36,219.98,212.35,216.07,231.76,241.51,213.38,185.85,273.36,3668,3532,3922,4508,4517,4109,130,8190,3046,5144,Friendly; Personalized care,Cold attitude; Unavailable doctors; Mismanaged; Chaotic; Inconsiderate
Noor Specialist Hospital,Good,25.024706,55.247974,Dubai,242,33700,36914,35676,37051,41438,37960,Radiology; Neurology; Infectious Diseases; Physiotherapy and Rehabilitation; Pathology and Laboratory Services; Intensive Care Unit (ICU); Dermatology; Urology; Orthopedics; Oncology (Cancer treatment); Pediatrics; Nephrology (Kidney care); Pulmonology (Respiratory care); Gastroenterology (Digestive system); Dental and Oral Surgery,134.33,135.52,137.71,142.14,155.18,164.57,112.21,168.56,128.27,191.26,169.89,212.8,3028,3763,4301,3792,4008,4342,688,23392,7863,15529,Excellent; Calm; Trustworthy; Recommended,Poor follow-up; Not responsive; Understaffed
Ilaj Medical Center,Very Good,25.028011,55.635085,Sharjah,888,64517,69233,79573,90107,82929,88069,Pulmonology (Respiratory care); Psychiatry and Mental Health; Dermatology; Pathology and Laboratory Services; Infectious Diseases; Intensive Care Unit (ICU); Emergency Medicine; General Surgery; Orthopedics; Dental and Oral Surgery,66.18,67.67,69.69,76.57,81.83,89.16,72.71,98.84,98.23,88.49,108.92,93.88,3062,2686,2387,2264,2394,2527,121,6776,2981,3795,Comforting; Reassuring; Follow-up care; Thorough,Cold attitude
Family Care Dubai,Very Good,25.444495,55.490883,Ajman,362,20358,22593,21018,21318,20707,22272,Emergency Medicine; Dermatology; Cardiology; Anesthesiology; Neurology; Pathology and Laboratory Services; Orthopedics; Gastroenterology (Digestive system); Obstetrics and Gynecology (OB/GYN); Dental and Oral Surgery; Oncology (Cancer treatment); Endocrinology (Hormonal disorders); Infectious Diseases; Nephrology (Kidney care); General Surgery,77.67,76.27,75.31,73.25,80.1,86.51,106.97,90.2,109.93,102.28,117.23,100.74,1594,1520,1735,2144,1842,1983,219,657,427,230,Well-managed; Good communication,Lack of care; Bad experience; Poor hygiene; Untrustworthy; Overcrowded
Al Hayat Noor,Acceptable,25.104267,55.338553,Sharjah,195,70204,66709,61595,56529,58526,63243,"Dental and Oral Surgery; Psychiatry and Mental Health; Radiology; Pulmonology (Respiratory care); Pediatrics; Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Oncology (Cancer treatment)",182.54,178.49,191.44,193.06,191.13,206.52,223.99,231.14,269.99,186.48,200.61,254.52,1590,1833,2274,2668,2546,2421,521,27092,14183,12909,Well-managed; Organized; Calm; High standards,Hidden charges; Dirty toilets; Delayed treatment
Al Wahat Afia Diagnostic Center,Good,25.387975,55.79727,Sharjah,622,51528,51536,58019,57983,61928,70842,Pulmonology (Respiratory care); Cardiology; Pathology and Laboratory Services; Radiology; Pediatrics; Orthopedics,59.6,57.33,57.91,56.29,56.8,55.51,50.44,59.46,56.45,48.85,61.83,81.55,2518,2581,2690,3070,3815,3548,152,9576,2898,6678,Helpful; Seamless process; Supportive; Professionalism,Miscommunication
Al Hayat Rahma Specialist Hospital,Very Bad,25.546889,55.792035,Umm Al Quwain,531,56590,51241,49564,51616,56092,56690,Physiotherapy and Rehabilitation; Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN); Neurology; Intensive Care Unit (ICU); Internal Medicine; Pediatrics,17.13,16.83,17.07,18.06,19.17,19.97,20.95,18.56,22.53,22.76,16.61,25.81,3478,3298,3554,4394,5221,4625,0,0,0,0,,
Family Care Community,Very Good,25.301953,55.360966,Sharjah,239,4463,4963,4838,4412,4040,4410,"Urology; Pulmonology (Respiratory care); Infectious Diseases; Endocrinology (Hormonal disorders); Physiotherapy and Rehabilitation; Psychiatry and Mental Health; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Emergency Medicine; Pediatrics; Orthopedics; Intensive Care Unit (ICU); Pathology and Laboratory Services",105.78,106.89,111.1,108.43,119.01,121.05,84.67,129.66,90.61,117.01,114.83,134.16,3,2,2,2,2,2,477,27666,21214,6452,Positive experience; Recommended; Advanced equipment; Calm; Respectful,Cold attitude
Al Shifa Khaleej International,Acceptable,25.081185,55.49276,Dubai,363,89815,99233,90760,91805,90381,81523,"Neurology; Gastroenterology (Digestive system); Dermatology; Emergency Medicine; Obstetrics and Gynecology (OB/GYN); Internal Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; Radiology; Cardiology; Orthopedics; Pulmonology (Respiratory care); Pathology and Laboratory Services; Pediatrics; Intensive Care Unit (ICU); Infectious Diseases",69.93,73.29,73.67,74.25,73.74,79.57,69.67,88.28,81.7,63.97,66.68,87.24,833,1036,1139,1336,1654,1592,312,7800,5827,1973,Professionalism; Efficient; Caring,Lack of care; Ignored; Incompetent; Poor follow-up
Noor Arabi,Very Bad,25.272838,56.211117,Fujairah,153,29131,29957,30285,31568,29026,28697,Physiotherapy and Rehabilitation; Nephrology (Kidney care); Cardiology; Gastroenterology (Digestive system); Orthopedics; General Surgery; Obstetrics and Gynecology (OB/GYN); Internal Medicine; Emergency Medicine; Urology; Radiology,96.27,101.79,105.33,111.32,120.48,130.2,107.5,150.19,125.88,145.25,176.4,125.44,257,220,217,238,239,262,809,67147,28288,38859,Prompt attention,Not responsive; Miscommunication; Bad experience; Dirty toilets
